春节对联
四言联
风和日丽  三星在户  百事皆乐  民生有幸
人勤地丰  五业其昌  万象更新  国运无疆
云霞呈秀  门迎百福  天开化宇  金莺报喜
梅柳生辉  户纳千祥  人在春台  玉燕迎春
五言联
阳光凝大地 年丰人益寿 迎春接福日 江山千古秀
春色入人家 春早福盈门 足食丰衣年 祖国万年春
人随春意泰 勤劳能致富 同修富裕路 山河添秀色
事共壮怀成 和睦可生财 共建文明村 大地沐春晖
好景年年好 政通千家福 太平真福贵 春晖盈大地
新春岁岁新 人和万户春 春色大文章 正气满乾坤
淑气芝兰茂 三阳临吉地 国登强盛境 春明有富贵
春风桃李香 五福萃华门 人过富裕年 风静全家安
花随春意发 庆新春肇事 人民歌永泰 一年春作首
福从好运来 祝大业终成 祖国庆长春 百事德为先
半年飞瑞雪 岁月随人好 万里春光美 祖国春如海
好景舞春风 山河照眼明 九州瑞气浓 人民力胜天
梅花开五福 年年歌大有 新风开盛世 红点桃花嫩
竹叶报三多 岁岁颂新康 春色壮神州 青描柳色新
天开新岁月 四海春光好 人民歌大治 党指通天路
人改旧乾坤 九州气象新 祖国庆长安 民怀报国心
神州臻百福 风和催四化 玉堂浮瑞气 共祝升平日
盛世集千祥 政通喜千家 金室耀祥光 同沾大有年
事业随春长 普天开景运 跨峥嵘岁月 龙飞欣晓日
风光逐日新 大地沐春晖 奔锦绣前程 马到庆丰功
日月光天德 有年皆丽日 云霞出海曙 春风舒冻柳
云霞拥地灵 无处不春风 梅柳渡江春 瑞雪兆丰年
和光生柳叶 风助飞雪舞 青山多画意 吟竹诗含翠
春色泛桃花 诗伴落梅吟 春雨润诗情 画梅笔带香
华文春日丽 神州春浩荡 普天开远景 云霞成异彩
瑞色紫云高 寰海日光华 大地焕新风 梅柳动春风
六言联
瑞雪娇梅袅柳  户户金花报喜  祖国河山似锦
建设果甜，年丰人寿尽欢歌 破旧规，搞改革，人尽其才
扬长避短，人尽其才，物尽其用
开源节流，取之以道，用之以时
损人有过，轻人失礼，助人高尚
败业可耻，守业无能，创业光荣
站上高处，看到远处，干在实处
懂得昨天，立足今天，奔向明天
手把焊枪，描绘宏图，焊牢经济实体
脚踏实地，发展有色，踏进改革前列
钢河、煤河、石油河，齐奏胜利凯歌
金山、银山、花果山，争绘丰收画图
袅袅白云，不尽帆飞，三峡浪开东海日
翩翩黄鹤，无边霞涌，五洲客醉楚天春
教育科技春联
文坛香溢  胸中波澜  诗情画意  热诚爱国
艺苑花荣  笔底风雪  琴韵书声  苦心育人
资料精粹  云霞万影  学知不足  钻研科学
信息总汇  丝竹千声  业精于勤  攀登高峰
十年树木  影坛新苗  琴瑟在御  画以流美
百年树人  艺苑百花  笙磐同音  书以言情
戏有高雅  文生异彩  风华正茂  韩康利薄
台无俗情  艺展新姿  意气方遒  橘井泉甜
文章江海  普及教育  万民康健  读万卷书
书籍林泉  振兴中华  四海春晖  行万里路
祖国花朵  聚蓄百草  五车图集  紫台绿帙
来日主人  平康兆民  万轴琳琅  黄卷青箱
华佗再世  鸾笙竹管  培育英才  精印文史
扁鹊重生  铁板铜瑟  钻研科学  扬名海外
五车诗胆  发扬风雅  棋逢对手  山河一统
八斗才雄  歌舞太平  将遇良才  松雪四家
寓教于乐  延年益寿  八风从律  书山觅宝
动情以真  救死扶伤  六吕调阳  学海泛舟
叶茂披翠  古为今用  开卷有益  冬练三九
花繁飘香  推陈出新  温故知新  夏练三伏
唱时代赞歌  漱六经芳润  一着不慎  是乃仁求
写人民心声  储二酉清华  满盘皆输  必为良医
树立高风尚  奇文共欣赏  砚生云海  悬壶市药
培养新道德  疑义相与析  笔舞龙蛇  铸镜鉴邪
一代园丁乐  文坛有芳草  笔浮梅蕊  向阳花朵
四时桃李荣  艺苑多奇葩  文凝雪花  茁壮新苗
文心清若水  艺苑百花俏  齐唱四化  岐黄事业
诗胆大如天  文坛万象新  巧绘三春  菩萨心肠
图书腾风彩  学海凭鱼跃  绳锯木断  神农尝草
文笔若龙翔  书林任鸟翔  水滴石穿  岐黄典医
教育呈新貌  文坛生异彩  江山助磅礴  校园还春绿
园丁育好苗  艺苑溢芬芳  文物照光辉  桃李向阳红
残碑留古迹  精研中外史  传四海美景  求有用知识
妙墨焕中华  洞察古今情  映五洲英姿  学实际本领
东壁图书府 藏古今学术  苦读有恒  文章千古事
西园翰墨林 聚中外佳作  好学无时  风雨十年人
书法扬道义  胸中具成竹  甬江新曲调  书中乾坤大
翰墨播文明  舌底翻莲花  槐国旧衣冠  笔下天地宽
交古今善士  大写英雄谱  欲知千古事  革古今之作
读中外奇书  高唱进军曲  须读五车书  罗中外之章
谱翻新乐调  和风吹绿竹  守四项原则  丹青饰山水
唱出大风歌  清韵入朱弦  育一代新人  金碧绘楼台
弦中参妙理  游戏一席地  二句三年得  布景开银幕
曲里寄幽情  艺趣万人心  一吟双泪流  登场运铁机
勤奋出天才  笔力千军阵  吟哦出新意  推窗观天地
实践得真知  词源万马兵  坦率见真情  挥毫凌云烟
事业贵精细  诗从肺腑出  文章溯古迹  和声鸣盛世
文心重雕琢  情由心血来  博物寻原宗  雅乐协元音
同心追科学  意飘云物外  演唱今昔事  竹院生幽静
并肩攀高峰  诗人画图中  讴歌盛世情  柯山岁月长
杏林三月茂  挥毫列锦绣  妙能齐尔齿  落笔赞五岳
橘井四时春  落纸似云烟  慧岂拾人牙  成诗颂九州
苦读千年史  独话灵芝草  著书掠日短  园丁育桃李
笑吟万家诗  当归何首乌  舞剑伴星稀  雨露润禾苗
乐荐千里马  草香千品药  药香沾笔砚  寻天地行踪
勇攀万仞峰  树有百年花  波影上檐楹  觅宇宙究竟
春官桃李战  桃李满天下  良医同良相  教育千古业
昭代岁时新  雨露遍神州  用药如用兵  花红一园春
今日祖国花朵 执血浇灌幼苗 雄心挟雷电 不惜千金价
明天建设英才 忠心哺育鲜花 壮志卷风云 惟求一体仁
远求海内珍本 大地江山如画 反映时代脉搏 继先烈遗志
快读人间良书 满园桃李争春 振奋革命精神 做四有新人
以宇宙为教室 知不足者好学 培养一代新秀 株株桃李争艳
奉自然作宗师 耻下问者自满 促进两个文明 朵朵葵花向阳
发展体育运动 以六书传四海 猛跨道道难关 高唱胜利凯歌
增强人民体质 愿一刻值千金 求索万千命脉 抒发爱国深情
打开科学宝库 忠诚教育事业 园丁呕心沥血 春风化雨润桃李
培养建设栋梁 塑造美好心灵 桃李斗艳争奇 丹心育苗树栋梁
尊师爱生风尚美  文成蕉叶书犹绿  学海无涯勤可渡
勤学苦练气象新  吟到梅花字亦香  书山万仞志能攀
鲜花朵朵园丁意  培育祖国新花朵  一身许国传科技
硕果累累桃李情  抚育革命接班人  两袖新风作师表
白发喜见迎春柳  养德增智强体魄  神州满园桃李艳
丹心笑种向阳花  爱国尚俭近工农  中华遍地栋梁材
云苑喜栽新著稿  此日梓楠同受范  攀山有志千条路
风帘闲校旧抄书  他年桃李广培材  学业无心万事空
图文并茂益读者  石刻六朝传百本  且喜满园桃李艳
书画同源扬国风  风流九代仰千秋  莫悲两鬓霜雪寒
千日盼槐绽百花  园内桃李年年秀  桃李园林结硕果
一心愿笋长成林  校中花朵时时香  红专道路出贤才
春催桃李遍天下  浩浩春风催桃李  春到校园别有景
雨润栋梁满九州  孜孜园丁育栋梁  风来书案自生香
至乐无声惟孝悌  银幕生辉百花放  诗无流俗形声正
太羹有味是读书  舞台活跃万象新  字不矜张结构安
远求海内珍藏本  人梯巧搭登攀路  传播四海新文化
快读当今畅销书  心血勤浇栋梁材  推广九州有用书
长留天地无穷趣  文坛英才挥彩笔  古今学术藏满架
最爱书田不老春  艺苑新秀唱颂歌  中外精华聚一厅
万卷书中寻佳语  笑看文苑芳斗艳  日出万言生花笔
五线谱上觅强音  喜听艺坛鸟争鸣  风行四海传惠书
庭松不改青葱色  才能伴信息显现  静若山容仁者寿
盆菊仍霏清净音  理想随事业腾飞  文为国粹圣人师
科学通天前程远  新声谱出扬州慢  荧窗虽小观今古
知识为阶道路宽  明月听来水调歌  屏镜不大映乾坤
建成世上惊天业  极尽四时之所乐  白雪阳春传雅曲
写出人间动地诗  自成一家以立言  高山流水觅知音
笔舞龙飞书壮志  大地山川生笔底  挥将日月长明笔
墨落云起赞英雄  九州人物出毫端  写就雷霆不朽文
画其容惟肖惟妙  乐引清泉浇桃李  舞台演出千家暖
描圣像越看越神  甘洒碧血育人材  银幕送来万户春
一口叙述千古事  当头炮妙手放响  紫毫写出光明亮
双手舞动百万兵  卧槽马巧计牵出  宣纸画成丰收图
两手托起千秋将  腹藏明月描凤舞  喜看祖国添锦绣
孤灯照出万古人  胸有春阳笔花香  笑挥彩笔绘新图
舞台百花吐娇艳  纳士招贤贤于贤  尊师重教兴美德
艺苑万象展新容  选才任能能胜能  敬老爱幼立新风
春催桃李朵朵芳  洒下园丁千滴汗  笔底纵谈中外事
果满枝头颗颗香  赢来花卉万般娇  胸中洞彻古今情
欣逢盛世修新志  三尺讲台连广宇  文章尔雅从无俗
乐著文章享后人  一片丹心育春苗  诗赋风流自有神
脚下行程千里远  斗室能观天下事  爱生自能受生爱
腹中书贮万卷多  方箱可纳地球人  师人方得为人师
春笋破土根根好  种田选种莫随便  雅怀深得花中趣
陈泥护花朵朵香  学子读书要认真  妙虑时闻笔里香
园丁励志栽桃李  知识海洋勤是岸  情通三尺讲台外
伯乐诚心荐英才  科技高峰志为梯  志在一寸粉笔中
精雕白玉千层艳  齿牙何惜留余患  一支粉笔开巨锁
细教英才百倍豪  金玉其相具美观  满腔豪情绘宏图
巧匠呕心琢美玉  曲尺画成方圆器  愿做春泥护绿李
严师沥血育英才  直线调就栋梁材  甘当人梯架金桥
园内桃李年年艳  荟萃馔馐香四海  书山有路勤为径
校中栋梁节节高  芬芳桃李遍三秦  学海无涯苦作舟
儿童乐园无限好  黑发不知勤学早  桃李花开春天里
祖国花朵别样红  白头方悔读书迟  园丁汗洒苗圃中
饮露幼苗争绽蕊  科研路上无险阻  幼儿园内春风满
迎春老树发新芽  攻关阵前有能人  向阳花开遍地红
喜看桃李满天下  中外图书皆有文采  因材施教成早果
乐见新人绘山河  今古名言俱备精华  定向培养出好材
宝剑锋从磨砺出  攻千重关心怀天下  祖国行行出状元
梅花香自苦寒来  读万卷书志在四方  体坛处处有新星
彩笔凌云腾蛟起凤  卫星同步航天际  夺冠不畏压力大
春风化雨绽李开桃  宝树生财遍地栽  争标何惧险峰多
寸寸光阴我宜惜此 欲开科学千重锁 指点江山春光满目
空空色相人其鉴诸 当破世界万卷书 激扬文字彩笔生辉
笑看文艺群芳斗艳    艺苑百花争奇斗艳
喜听艺坛百鸟争鸣    文坛新苗战雪傲霜
采冰山雪莲不怕路险   推陈出新五光十色
探骊龙珠宝岂畏海深   百花齐放万紫千红
广采祖国各地新鲜事   银幕映红花红花吐艳
播放城乡人民爱听歌   影坛咏绿水绿水长流
文艺舞台百花齐放    甘做园丁为祖国添秀
教育战线万木争春    愿为春雨育桃李成材
红色电波传四海佳话   科研喜讯似春潮涌现
荧光屏幕映五洲风光   生产捷报如雪片飞来
艺苑乐地，五光十色   水滴石穿，业精不舍
歌台舞榭，万紫千红   海阔天高，学贵有恒
掏尽丹心谱写园丁歌   坚毅自学，博深无限
洒满汗水当好育花人   创造发明，报国有门
推崇科学笑迎百花艳   文坛映彩出多少新秀
倡导文明喜看万象新   金笔生辉写时代强音
喜看园丁辛勤一堂秀   潜心科研，书读十载
笑谈桃李成材四海春   造福人类，功在千秋
神州腾飞，科学关键   辞旧岁万众高歌丰收曲
中华崛起，教育先行   迎新春彩笔精绘四化图
发展科学，广开宝库   祖国昌盛有赖教育振兴
繁荣经济，振兴中华   四化实现须靠科技发展
跋千山涉万水寻方采药  眼观六路，分析社会动态
进万户走千家治病医伤  耳听八方，了解民众要求
春花遍地，甘做园丁勤灌溉  一往无前攻克文化堡垒
雪岭摩天，愿为志士勇攀登  百折不挠攀登科学高峰
百花齐放喜看神州铺锦绣 学海不深藏自古英才凭自励
万众一心共挥彩笔绘新图 书山须探奥从来绝顶靠人攀
八尺银幕通晓古今中外事 豪杰挺生，遂今名山萦旧梦
一盘胶带收揽天下众人心 英才乐育，犹看学生步青云
卫星上天空揭开宇宙奥秘 妙手播春风，笺笺良方除百病
潜艇入水底探索海洋珍藏 慈容祛暮霭，耿耿丹心暖万人
重德重才潜心造就新一代 古为今用，认真发掘文学宝库
管教管导全面培育接班人 推陈出新，积极扶植艺术新花
文艺舞台百花齐放朵朵争艳 学海艺海能手芸芸，众星媲美
学术论坛群星灿烂颗颗生辉 文坛诗坛英才济济，群芳争妍
一支教鞭，点开多少学生心窍 冲锋陷阵，攻克科学技术堡垒
几色粉笔，描出无数科学蓝图 争分夺秒，赶超世界先进水平
学知识，学业务，铸千秋大业
讲文明，讲礼貌，树一代新风
春风拂文坛，且喜文坛千树绽绿
红日照艺苑，更贺艺苑百花正红
彩笔传情，高歌神州大地风光好
丹霞达意，赞颂中华儿女俊杰多
科学攀高峰，沙场宿将刀未老
知识开宏宇，园圃新秀剑正锋
志于道据于德依于仁而后游于艺
修其身齐其家治其国必先正其心
天线成林，刺穿乡野千年寂寞夜
荧屏如画，收尽神州万里沸腾春
立科学志，读科学书，当科学家
说老实话，办老实事，做老实人
四体不勤，五谷不分，孰为夫子
小疑必问，大事必闻，才算学生
有志者做有志事，有志民族愈有志
文明人树文明风，文明古国更文明
格物致知深究数理化，誓达科技峰顶
勤学苦练发展德智体，定为祖国争光
体育春联
学文化长知识大干四化   绿茵场上跃猛虎
习武功强身体保家卫国   碧水池中腾蛟龙
练身体练意志打出好风格  向世界纪录瞄准
胜不骄败不馁赛出新水平  为祖国人民争光
杰出健儿，翩翩小将  体坛新秀创奇迹功彪青史
高超绝技，鼎鼎大名  中华健儿立壮志威震全球
路线对政策好前程似锦  大智大勇大有作为创伟业
身体壮生活美诸子吉祥  敢拼敢搏勇夺桂冠立新功
体坛新秀朝气蓬勃绿竹吐翠  学武术传技法承前启后
沙场战将雄风铮铮宝刀未老  效先烈展宏图继往开来
运动健儿冲出亚洲誉满四海 百米冲刺靠千日苦练作后盾
体坛俊杰腾飞世界名扬八方 一朝争先有十载寒暑为前驱
炎黄子孙武精力壮犹如钢筋铁骨 冲出亚洲中华儿女扬眉吐气
华夏儿女侠肝义胆何惧虎豹狼豺 走向世界神州英杰先声夺人
赛场上红男绿女舞翩跹姿态英俊 夺桂冠金杯中盛满辛勤汗水
骄阳下刀光剑影相辉映身手不凡 攀高峰奖牌上记载奋斗历程
医疗卫生春联
起死回生通妙诀  户户皆为清洁户  妙手回春治百病
救死扶困羡良医  人人都是健康人  满腔热血为人民
快刀无声除疾患  永求良药医百病  跋千山行医送药
神术有情解病危  发挥妙手治千人  涉万水救死扶伤
巧手医百病 模范卫生院 人人爱清洁 老少喜康泰
红心暖万家 生产先进家 家家讲卫生 城乡乐丰盈
病灾不染清洁地 健康门第春常在 除三山五岳病痛
福寿常临健康家 卫生人家庆有余 收四海九州精华
神农本草香千里 注意卫生延年益寿 入室有言皆是药
岐伯医学播五洲 讲究科学除病去灾 出门握手便知心
手巧心红医百病 欲向市中求妙药 发掘祖国医学宝库
艺高胆大治千疮 须知海内有奇方 保障人民身体健康
中西交流取长补短显妙手  实行计划生育老少康乐
新旧互学救死扶伤展神通  推广合作医疗人寿年丰
城乡兼顾发展保健事业  丹心妙手白衣战士除顽疾
中西结合提高医疗水平  银针草药人民医生创奇迹
讲卫生天增岁月人增寿 古今未见一人服仙丹长生不老
除疾病春满神州福满门 中外已闻万例凭锻炼益寿延年
白衣红心，舍己为人，先防再治
高术精艺，扶伤救死，妙手回春
踏群山，尝百草，废寝忘食钻业务
走千家，串万户，救死扶伤为人民
五谷丰登凭劳动得来不是靠天吃饭
四季健康赖卫生讲究何必拜佛求神
商贸春联
香分花上露 步月凌波去 和声鸣盛世 挥毫刺锦绣
水汲石中泉 登堂入室来 鼓乐庆升平 落纸如云烟
剪彩为歌袖 不愁夕阳去 尝来皆适口 嘉名称博士
裁云做舞衣 还有夜珠来 咽去自清心 大礼重高冠
冷暖随人意 光华能照乘 光照天边月 开源广辟财富
缠绵动客心 身份重连城 寒凝涧底泉 储蓄积累资金
云霞分五色 台上冰华澈 有材皆中选 虽云毫末技艺
锦绣聚千纯 人间月影清 适用乃为宜 却是顶上功夫
雪花资润泽 权衡凭正直 同事亲如兄弟 乐滋滋为四化
香水溢芬芳 轻重在公平 商店胜似家庭 笑盈盈迎顾客
信誉为尊  聚沙为塔  一尘不染  物化绚彩
用户至上  滴水成河  百问不烦  宫锦标奇
礼貌待客  人和国富  物质优胜  地尽其利
文明经商  时泰年丰  精神文明  货畅其流
经商有德  明码实价  待时而动  宏基永固
奉公以廉  童叟无欺  不叩自鸣  源水长流
万民便利  盈余得利  储以备用  发展生产
百货畅通  丰富多财  蓄乃有余  保障供给
堆金积玉  琳琅满目  顺受百福  其器从革
聚宝藏玢  顾客盈门  隆盛四时  终日服箱
主欢客乐  竭诚服务  惠风和畅  生意兴隆
近悦远来  薄利多销  明月团圆  财源茂盛
民殷国富  布衣兴国  货源恒足  货流不息
花好月圆  蓝筚开山  品物咸亨  宾至如归
春风满面  门盈喜气  履行平等  黄粱梦熟
顾客盈门  店满春风  冠冕群伦  白莞含烟
文明处事  隆声远布  丰财阜货  汇川纳海
买卖公平  兴业长新  裕国富民  敛福生财
价廉物美  万商云集  春阳乍暖  萃集百货
近悦远来  兴业日新  生意勃兴  丰盈八方
洛阳纸贵  五谷村光  白疑叠雪  合束为柴
上党佳珍  万宝告成  朱若含春  伐薪为炭
夏宜麻葛  素以为绚  一室珍品  任权钧物
冬用毛棉  紫不夺朱  千古奇观  嘉量平心
交流百货  玩此思物  饼名五福  陈其宋器
信诺千金  具有巧思  糕赐重阳  积有古香
云母开屏  不嫌事小  一店佳品  金石刻画
水心铸镜  但愿人乐  四时鲜活  翰墨姻缘
可取以准  金钗十二  江山如画  冰桃雪藕
勿失其时  珠履三千  胜友似云  绿橘黄橙
兴隆大业  声歌盛世  蜜中露饯  一池春水
昌裕后人  乐庆丰年  千里藏鲜  万人舒心
卧薪励志  香先传腊八 举杯邀明月 闻香须止步
送炭蒙思  米早煮弓双 拍手歌春风 知味且停车
调饴养老 入夜餐方集 清言霏玉屑 酒香留客住
食蔗回甜 交冬市更忙 洁白类银丝 诗好带风吟
轻裘被服  味涵玉液  金钱善贾 巧做百家菜
罗绮生香  美比琼浆  聚米为山 喜迎四方客
生财有大道 光浮竹叶翠 广开生财道 楼观沧海日
信用得中孚 色借郁金黄 大念致富经 地傍小安沙
小费君莫惜 存小额金币 物美销路广 三江待茶客
后顾自无忧 作大块文章 价廉称客心 四海迎春风
为生产服务 巧理千家事 多想生财道 汲取甘泉水
作致富后勤 温暖万人心 广开致富门 供应幸福人
缓急人常有 春共山中采 煮沸三江水 清风洒六合
权衡我岂无 香宜竹里煎 同饮五岳茶 和泽周三春
滴水汇大海 牛羊夸茁壮 节资须刻苦 讲商业道德
垒士积高山 鸡鸭善烹调 储蓄贵有恒 树财贸新风
环绕生财地 柜台春风暖 迎年须早备 茶香飘四海
祥开造福门 商店百货全 祝寿更相宜 叶味流三江
夏虫不可语 清真有美味 店好千家颂 烹煮三鲜美
风雅独绝伦 热情待佳宾 坛开百里香 调和五味香
光明凝似雪 青山沐雨露 春江取不尽 池中常蓄水
色泽滑于油 闹市献清香 秋水竞自来 亭下自通泉
皎洁如凝雪 浑圆得天体 接八方贵客 五味甘能配
晶莹似结冰 包藏无物形 迎四海亲人 四时用不穷
相逢皆萍水 架上图书润 金穰称国宝 阳和蒸土脉
小住息风尘 室内翰墨香 玉粒济民生 未捻庆年华
春城欣百业 墨花飞紫露 洗甲天河静 物未龙鳞化
花市拥群芳 笔阵起雄风 染衣柳汁新 品同熊掌珍
匠心随所欲 柳枝初分绿 未登瑶池宴 共谈天下事
着手便成春 桃花相映红 已成蟠桃仙 相看万里宾
青山收笔底 事业传清白 频劳工匠巧 花开群芳谱
绿水涌毫端 生涯在水乡 博得众人欢 鸟唱迎宾曲
六书传四海 厚生资利用 层楼尽瑰宝 琴书多古意
一刻值千金 和众兆丰财 满堂皆珍奇 水石澹幽居
云霞成异彩 点心甜万户 心怀四化大业
兰桂起香风 佳酿醉千家 身站三尺柜台
进门都是顾客 羊革狐裘新样 洗掉全部污垢
到此即为亲人 御寒莫错机缘 增添一身豪情
经商斤两不克 活跃集市贸易 保证市场供应
办店老少无欺 沟通物资交流 满足群众需要
他乡故国虽千里 瓶中色映葡萄紫 交以道接以礼
芳草奇花总一春 瓮里香浮竹叶青 近者悦远者来
祖国天涯同梓里 翠叶烟腾冰碗碧 五味烹调香千里
神州海角遍亲人 绿芽光照玉瓯青 三鲜蒸炸乐万家
味超玉液琼浆外 日暖冰融春光美 多把芳菲汛春酒
巧在燃箕煮豆中 鸡鸣鸭舞喜事多 已见沧海为桑田
一年常有时令菜 饭菜誉满三江水 满面春风顾客喜
四季不乏地头鲜 情意饱暖四海心 贴心服务饭菜香
美品珍逾茭白鲊 生意兴隆通四海 美酒佳肴迎挚友
春风香送杏花饴 风味佳美誉三秦 名楼雅座待明朋
斤两不失一刀准 仙果赐来人益寿 五湖四海宾朋至
肥瘦可匀千客夸 珍盘纷列客尝新 一日三餐饭菜香
一秤深情千家乐 水如碧玉山如黛 东风利市春来有象
满店蔬菜四季鲜 酒满金杯月满楼 生意兴隆日进无疆
竹叶杯中春有色 茶余喜谈致富事 送货上门方便群众
杏花村里客多情 酒店倍增创业心 摆摊设点服务人民
窗外看山风生七碗 春满柜台五光十色 味美招来天下客
楼头近水春满一壶 货盈橱架万紫千红 酒香引出洞中仙
以三尺柜台为岗位 喜迎笑送来去高兴 店有名名扬四海
待八方顾客如亲人 东拣西挑买卖公平 饭喷香香飘五洲
货架上下鲜花朵朵 顾客如川川流不息 饭熟菜香春满座
柜台内外春意融融 生财有道道畅无穷 窗明几净客如云
百货百美百看不厌 联合经营互惠互利 一川风月留酣饮
千客千心千选不烦 热情服务全心全意 万里山河尽浩歌
百问不烦百看不厌 开源节流为民着想 主甜客甜心更甜
笑容常展笑口常开 集资创汇替国分忧 饭香菜香汤也香
方圆厚薄甜咸各具 服务周到群众满意
味美色香精细齐全 态度和蔼顾客称心
笑语带书香英花发外  自古无先知谁能免祸
经营怀古道和顺积中  而今有保险我可救灾
生意意中生生财有道  丰收须节俭利公利己
买卖卖后买买卖兴隆  富裕当储蓄益国益民
党风民风社会风气好  门前大道通八方利路
天新地新服务面貌新  店后小溪纳四方财源
三尺柜台招四方顾客  诚信无欺，言如九鼎
一腔情意拂二月春风  寄托为重，诺此千金
喜事业兴隆万民得利  精心理财绘四化美景
看分秒准确为国惜时  妙手运筹奏九州乐章
尽力开源，资财不竭  千百万户户户皆是储户
厉行节约，周转有余  七十二行行行不离银行
盘浅情浓味适佳宾口  利己利人君子生财大道
物美价廉甜透贵客心  公心公物哲人处世良方
饭热汤热八方客常暖  去去来来人人欢欢喜喜
菜香酒香四季店如春  多多少少日日取取存存
银行用热情服务用户  收入开源，远浪大涛滚滚
人民以存款支援国家  支出把口，长流细水潺潺
东西南北客人人满意  拨响算珠乐为改革谱新曲
春夏秋冬货样样称心  清点资金甘帮致富奏凯歌
福星不照懒惰户福星有限 以公仆态度对人，人人满意
财神偏爱勤劳人财神多情 按经济规律办事，事事称心
办好信贷，大力支援建设 发展生产，百业共百花并茂
开展储蓄，多方积累资金 繁荣经济，万民与万物同春
鼓励储蓄活期定期各自便 广开资源，财似造山千篑少
欢迎户主存款取款常往来 畅通渠道，物随人意四方流
有蒸饺，有汤饺，随时可供三餐饱
泡清茶，泡香茶，请君更上一层楼
管国家资金，赤胆忠心，一身正气
办人民储蓄，鞠躬尽瘁，两袖清风
讲文明讲礼貌任劳任怨使群众满意
讲政策讲信誉保质保量让人民称心
集龙城山珍野味，制佳肴迎来仙客
得瑶池玉露琼浆，酌美酿醉卧华楼
产品新，质量高，生意兴隆通四海
信息灵，商路广，财源茂盛达三江
子鼠年春联
子年人瑞  子为地支首  豕去呈丰稔  鼠为生肖首
丙岁春温  鼠乃生肖先  鼠来报吉祥  春乃岁时先
丙年兴旺  子夜为鼠  子夜钟声响  春燕鸣暖树
子民腾欢  丑时属牛  鼠年爆竹喧  金鼠跃青枝
丙年风仪  苍松随岁古  碧野青蛙叫 欣有鼠须笔
子夜钟鸣  子鼠与年新  黄山松鼠鸣 喜题燕尾书
丙名世德  子夜岁交替  黄莺鸣翠柳  黄山松鼠跳
子夜凯旋  鼠年春更新  金鼠恋苍松  绿野甲春归
子孙奋发  豕去春无限  春风拂柳绿  新妆鼠嫁女
丙火辉煌  鼠来岁有余  灵鼠跳松青  美景燕迎春
祖国健儿兴骏业  子夜佳章茅盾著  壬遇深思心谢党
鼠须彩笔绘宏图  鼠偷奇案况钟察  子图大业力描春
子时春意闹 鼠至调新律  鼠来豕去远  子夜松涛劲
鼠岁笑声甜 鸡鸣报早春  春到景更新  鼠年鹊语香
鹊语红梅放 粮多衣食足  百年推甲子  春潮传喜讯
鼠年喜年浓 子尽旭日升  福地在春申  鼠岁报佳音
鼠年吉星高照  一日时辰子为首  龙国群英兴伟业
猪岁捷报频传  十二生肖鼠占头  鼠须彩笔绘蓝图
银花火树迎金鼠  未有吉言托老鼠  年画喜人鼠嫁女
海味山珍列玉盘  敢将套语贺新春  红梅傲雪鹊鸣春
万千禽兽尊为子  吉祥鼠报丰收岁  子夜钟声燃爆竹
十二生肖独占先  科技花开富裕家  鼠年古语化春联
肃贪惩治官仓鼠  子夜鼠欢爆竹乐  灵鼠迎春春色好
正本当纠裙带风  门庭燕舞笑声喧  金鸡报晓晓光新
务本神农播百谷  子时一到开新律  银花万簇迎金鼠
刺贪硕鼠吟三章  鼠岁三春报好音  火树千株展玉龙
灵鼠跳枝月影晃  才见肥猪财拱户  春鼓频敲鼠嫁女
春牛犁地谷生香  又迎金鼠福临门  秧歌竞扭喜盈门
麟角凤毛增国誉  窗花巧剪吉祥鼠  鼠无大小名称老
鼠须妙笔点春光  科技尊称致富神  年接尾头岁更新
宰掉肥猪开美宴  莺歌燕舞春添喜  甲第连云欣发展
迎来金鼠庆新春  豕去鼠来景焕新  子年遍地祝丰隆
老鼠娶亲鸣鼓乐  鹊喳梅放春迎户 金鼠临春粮增财旺
羊毫蘸墨写春联  鼠报年来福满门 银豕辞岁言壮禽肥
花香鸟语春光好  老鼠娶亲成故事  稻菽千重金浪起
雨顺风调稻菽丰  雄鸡迎日报新春  春风万里玉梅开
春雨晓风花开五色   子鼠一点红补气利水称良药
鼠须麟角力扫千军   亥猪三大盆营养丰盛是佳肴
一纪开端共迎金鼠   豕岁又是丰收高高兴兴送去
三春肇始同举玉杯   鼠年更为繁荣欢欢喜喜迎来
豕去鼠来新换旧    鼠年大吉大利一切试验皆成功
星移斗转腊迎春    猪岁捷报捷传各个领域均凯旋
丑牛年春联
愿效老牛  牛耕绿野  牛如南山虎  春暖青牛跃
为国捐躯  虎啸青山  马似北海龙  山高碧水流
牵牛花报喜 黄牛耕沃野  紫燕寻旧主  丑时春入户
布谷鸟催春 紫气茏新春  金牛闹新春  牛岁福临门
人逢如意事 春新牛得草  愿效黄牛力  客岁送金鼠
牛舞艳阳春 世盛国增辉  尽抒赤子情  今年买铁牛
得失塞翁马 金牛奔盛世  岁首春到户  牛耕芳草地
襟怀孺子牛 紫燕舞新春  牛年福满门  鹊报吉祥年
牛舞丰收岁 鼠遁春风至  草发黄牛乐  深恩红赤日
鸟鸣幸福春 牛携喜气来  春新紫燕歌  忠实老黄牛
丰稔黄牛志 春丽牛逢草  黄牛耕九野  牛铃飘翠岭
富强赤子心 月明马识途  白马战疆场  燕语暖春风
牛耕千野绿 欢度新春节  黄牛耕绿野  春来紫燕舞
