遥山丽如绮 长流萦似带
歌要齐声和 情教细语传
色湛青苔里 寒凝紫绠边
铜瓶向影落 玉甃抱虚圆
云物天中少 烟花岁后来
河从御苑出 山向国门开
鹦鹉能言鸟 芙蓉巧笑花
地衔金作埒 水抱玉为沙
玉阶朝就日 金屋夜升天
轩骑青云际 笙歌绿水边
及自登枢要 何曾问布衣
平明登紫阁 日晏下彤闱
苍龙青旗 爰候祥风
律以和应 神以感通
礼陈瑶币 乐献金奏
弹弦自昔 解冻惟旧
爰候发生 式荐馨香
酌醴具举 工歌再扬
风动物 乐感神
三献终 百神臻
送迎灵驾神心飨 跪拜灵坛礼容盛
气和草木发萌芽 德畅禽鱼遂翔泳
作解之功 乐惟有年
云輧戾止 洒雾飘烟
惟乐能感 与神合契
阴雾离披 灵驭摇裔
礼备节应 震来灵降
动植求声 飞沉允望
神行令 瑞飞空
迎乾德 祈岁功
飨时灵贶僾如在 乐罢馀声遥可闻
饮福陈诚礼容备 撤俎终献曙光分
送客屡闻帘外鹊 销愁已辨酒中蛇
瓶开枸杞悬泉水 鼎炼芙蓉伏火砂
醉中惊老去 笑里觉愁来
月送人无尽 风吹浪不回
几度衣裳汗 谁家枕簟清
颁冰无下位 裁扇有高名
诏驰黄纸速 身在绛纱安
圣位登堂静 生徒跪席寒
岁华唯陇柏 春事罢公桑
龟兆开泉户 禽巢闭画梁
扫竹催铺席 垂萝待系船
鸟窥新罅栗 龟上半欹莲
人间第四祖 云里一双峰
积雨封苔径 多年亚石松
羸驾归贫宅 欹冠出禁林
凤巢方得地 牛喘最关心
海翻移里巷 书蠹积埃尘
奉佛栖禅久 辞官上疏频
晚年多疾病 中路有风尘
王粲频征楚 君恩许入秦
渐穷无相学 惟避不材讥
积病攻难愈 衔恩报转微
手护昆仑象牙简 心推霹雳枣枝盘
春飞雪粉如毫润 晓漱琼膏冰齿寒
已觉不嫌羊酪 谁能长守兔罝
脱巾偏招相国 逢竹便认吾家
花落黄鹂不复来 妾老君心亦应变
君心比妾心 妾意旧来深
万卷长开帙 千峰不闭门
绿杨垂野渡 黄鸟傍山村
露冕随龙节 停桡得水人
早霜芦叶变 寒雨石榴新
还归五陵去 只向远峰看
暮色催人别 秋风待雨寒
松雪千山暮 林泉一水通
乡心缘绿草 野思看青枫
淮月归心促 江花入兴新
云深沧海暮 柳暗白田春
泪向槟榔尽 身随鸿雁归
草思晴后发 花怨雨中飞
凄凉辞泽国 离乱到乡山
北固滩声满 南徐草色闲
转曲遥峰出 看涛极浦连
入京当献赋 封事更闻天
逼岸随芳草 回绕背落晖
映花双节驻 临水伯劳飞
旧国逢芳草 青云见故人
潘郎今发白 陶令本家贫
野墅人烟迥 山城雁影多
有时巫峡色 终日洞庭波
万点湘妃泪 三年贾谊心
愿持终白首 谁道贵黄金
绿芳深映鸟 远岫递迎人
饥狖啼初日 残莺惜暮春
高情同客醉 子夜为人长
斜汉初过斗 寒云正护霜
客寻朝磬至 僧背夕阳归
下界千门在 前朝万事非
蝉鸣独树急 鸦向古城多
转曲随青嶂 因高见白波
风摇近水叶 云护欲晴天
夕照留山馆 秋光落草田
井近时浇圃 城低下见河
兴缘芳草积 情向远峰多
东阁论兵后 南宫草奏期
人稀傍河处 槐暗入关时
山阶闲听法 竹径独看书
向日荷新卷 迎秋柳半疏
未满先求退 归闲不厌贫
远峰晴更近 残柳雨还新
夜风吹不灭 秋露洗还明
向烛仍分焰 投书更有情
能全季布诺 不道鲁连功
流水蒹葭外 诸山睥睨中
独随流水远 转觉故人稀
万木迎秋序 千峰驻晚晖
东风潮信满 时雨稻粳齐
寡妇共租税 渔人逐鼓鼙
思乡雁北至 欲别水东流
倚树看黄叶 逢人诉白头
一身随远岫 孤棹任轻波
世事关心少 渔家寄宿多
终日能留客 凌寒亦对花
海鸥过竹屿 门柳拂江沙
高月穿松径 残阳过水田
诗从宿世悟 法为本师传
浅流通野寺 绿茗盖春山
长吏多愁罢 游人讵肯还
对花阊阖静 过竹吏人稀
裁诏催添烛 将朝欲更衣
出关逢落叶 傍水见寒花
送远添秋思 将衰恋岁华
旧浦菱花发 闲门柳絮飞
高名乡曲重 少事道流稀
盛业推儒行 高科独少年
迎秋见衰叶 馀照逐鸣蝉
长安带酒别 建业候潮归
稚子欢迎棹 邻人为扫扉
山色垂趋府 潮声自到门
缘塘剡溪路 映竹五湖村
零桂虽逢竹 湘川少见人
江花铺浅水 山木暗残春
同事元戎久 俱承国士恩
随莺过淮水 看柳向辕门
若见楚山暮 因愁浙水赊
河堤经浅草 村径历繁花
卷箔岚烟润 遮窗竹影闲
倾茶兼落帽 恋客不开关
闲窥数竿竹 老在一绳床
啜茗翻真偈 然灯继夕阳
故关逢落叶 寒日逐徂征
闻笛添归思 看山惬野情
衰柳寒关道 高车左掖臣
背河见北雁 到洛问东人
漏长丹凤阙 秋冷白云司
萤影侵阶乱 鸿声出苑迟
诸将矜旄节 何人重布衣
空城流水在 荒泽旧村稀
经春逢白草 尽日度黄沙
双节行为伴 孤烽到似家
人向吴台远 莺飞汉苑多
见花羞白发 因尔忆沧波
白髭空受岁 丹陛不朝天
秉烛千官去 垂帘一室眠
山色潜知近 潮声只听来
夜禽惊晓散 春物受寒催
年华初冠带 文体旧弓裘
野渡花争发 春塘水乱流
明通汉家籍 重识府公恩
春景生云物 风潮敛雪痕
更事文犀节 还过白马津
云间辞北阙 树里出西秦
无人花色惨 多雨鸟声寒
黄霸初临郡 陶潜未罢官
扬旌川色暗 吹角水风寒
人对辎輧醉 花垂睥睨残
朝霞晴作雨 湿气晚生寒
苔色侵衣桁 潮痕上井栏
醉夜眠江月 闲时逐海云
荻花寒漫漫 鸥鸟暮群群
气迎天诏喜 恩发土膏春
草色催归棹 莺声为送人
攀折隋宫柳 淹留秦地人
含情归上国 论旧见平津
霜浓竹枝亚 岁晚荻花深
草市多樵客 渔家足水禽
禅心超忍辱 梵语问多罗
松竹闲僧老 云烟晚日和
问绢莲花府 扬旗细柳营
词锋偏却敌 草奏直论兵
心朝玉皇帝 貌似紫阳人
湘浦眠销日 桃源醉度春
水声巫峡里 山色夜郎西
树隔朝云合 猿窥晓月啼
霜林澹寒日 朔雁蔽南云
八座由持节 三湘亦置军
白头悲作吏 黄纸苦催人
多负登山屐 深藏漉酒巾
蒹葭百战地 江海十年人
叹老堪衰柳 伤秋对白蘋
水澄千室倒 雾卷四山长
受节人逾老 惊寒菊半黄
清明桑叶小 度雨杏花稀
卫女红妆薄 王孙白马肥
常时矜礼数 渐老荷优怜
见主承休命 为郎贵晚年
猿啼巫峡雨 月照洞庭波
穷海人还去 孤城雁共过
枫林缘楚塞 水驿到湓城
岸草知春晚 沙禽好夜惊
汉阙青门远 高山蓝水流
三湘行客去 九陌故人游
以吾为世旧 怜尔继家风
淮岸经霜柳 关城带月鸿
雨多愁郢路 叶下识衡山
地远从军乐 兵强分野闲
独归双树宿 静与百花亲
对物虽留兴 观空已悟身
水传云梦晓 山接洞庭春
帆影连三峡 猿声在四邻
日暖临芳草 天晴忆故乡
映花莺上下 过水蝶悠飏
素浪遥疑八溪水 清枫忽似万年枝
嵩南春遍伤魂梦 壶口云深隔路歧
野寺山边斜有径 渔家竹里半开门
青枫独映摇前浦 白鹭闲飞过远村
老为侨客偏相恋 素是诗家倍益亲
妻儿共载无羁思 鸳鹭同行不负身
谁言宰邑化黎庶 欲别云山如弟兄
双鸥为底无心狎 白发从他绕鬓生
门临莽苍经年闭 身逐嫖姚几日归
贫妻白发输残税 馀寇黄河未解围
孤云独鸟川光暮 万井千山海色秋
清梵林中人转静 夕阳城上角偏愁
白骨半随河水去 黄云犹傍郡城低
平陂战地花空落 旧苑春田草未齐
爽气遥分隔浦岫 斜光偏照渡江人
心闲鸥鸟时相近 事简鱼竿私自亲
初过重阳惜残菊 行看旧浦识群鸥
朝霞映日同归处 暝柳摇风欲别秋
甲子不知风驭日 朝昏唯见雨来时
霓旌翠盖终难遇 流水青山空所思
遥想双眉待人画 行看五马送潮归
望夫山上花犹发 新妇江边莺未稀
楚地蒹葭连海迥 隋朝杨柳映堤稀
津楼故市无行客 山馆荒城闭落晖
去路全无千里客 秋田不见五陵儿
秦家故事随流水 汉代高坟对石碑
吴越征徭非旧日 秣陵凋弊不宜秋
千家闭户无砧杵 七夕何人望斗牛
幸有香茶留稚子 不堪秋草送王孙
烟尘怨别唯愁隔 井邑萧条谁忍论
细雨湿衣看不见 闲花落地听无声
日斜江上孤帆影 草绿湖南万里情
绿竹放侵行径里 青山常对卷帘时
纷纷花发门空闭 寂寂莺啼日更迟
辅嗣外生还解易 惠连群从总能诗
檐前花落春深后 谷里莺啼日暮时
江头鸟避青旄节 城里人迎露网车
长沙地近悲才子 古郡山多忆旧庐
芳草伴人还易老 落花随水亦东流
山临睥睨恒多雨 地接潇湘畏及秋
老兄鄙思难俦匹 令弟清词堪比量
叠嶂入云藏古寺 高秋背月转南湘
日晚长烟高岸近 天寒积雪远峰低
芦花渚里鸿相叫 苦竹丛边猿暗啼
自叹马卿常带病 还嗟李广未封侯
棠梨宫里瞻龙衮 细柳营前著豹裘
黄卷清琴总为累 落花流水共添悲
愿将从药看真诀 又欲休官就本师
慈母断肠妻独泣 寒云惨色水空流
江村故老长怀惠 山路孤猿亦共愁
鱼网平铺荷叶 鹭鸶闲步稻苗
秣陵归人惆怅 楚地连山寂寥
云山百越路 市井十洲人
执玉来朝远 还珠入贡频
府僚闲不入 山鸟静偏过
睥睨临花柳 栏干枕芰荷
叶殊经写字 子为佛称名
滤水浇新长 燃灯暖更荣
绮琴白雪无心弄 罗幌清风到晓开
冉冉修篁依户牖 迢迢列宿映楼台
幽思缠芳树 高情寄远山
雨痕连地绿 日色出林斑
海鱼朝满市 江鸟夜喧城
止酒非关病 援琴不在声
贞为台里柏 芳作省中兰
夜宿分曹阔 晨趋接武欢
天上河从阙下过 江南花向殿前生
广云垂荫开难落 湛露为珠满不倾
黍苗期腊酒 霜叶是寒衣
市井谁相识 渔樵夜始归
手持霜简白 心在夏苗青
回雁书应报 愁猿夜屡听
几处折花惊蝶梦 数家留叶待蚕眠
藤垂宛地萦珠履 泉迸侵阶浸绿钱
唯看上砌湿 不遣入檐深
度隙沾霜简 因风润绮琴
荀氏八龙唯欠一 桓山四凤已过三
他时干蛊声名著 今日悬弧宴乐酣
江山婺女分 风月隐侯诗
别恨双溪急 留欢五马迟
钩悬新月吐 衡举众星随
掌握须平执 锱铢必尽知
风吹晓漏经长乐 柳带晴烟出禁城
天净笙歌临路发 日高车马隔尘行
高标信难仰 薄官非始务
绵邈千里途 裴回四郊暮
德遂天下宗 官为幕中客
骊山浮云散 灞岸零雨夕
素怀经纶具 昭世犹安卑
落日去关外 悠悠隔山陂
今予亦云幸 谬得承温颜
良策资入幕 遂行从近关
数仞不可窥 言味终难尽
处喧虑常澹 作吏心亦隐
寸禄聊自资 平生宦情鲜
逶迟东州路 春草深复浅
中夏授参谋 东夷愿闻道
行轩玩春日 饯席藉芳草
翳君曲得引 使我缨俗网
风尘岂不劳 道义成心赏
文学鲁仲尼 高标嵇中散
出门时雨润 对酒春风暖
香花同法侣 旌旆入深山
寒磬虚空里 孤云起灭间
寒生五湖道 春入万年枝
召化多遗爱 胡清已畏知
未辞公府步 知结远山情
高柳风难定 寒泉月助明
残雪入林路 暮山归寺僧
日光依嫩草 泉响滴春冰
关河三晋路 宾从五原人
孤戍云连海 平沙雪度春
沧洲归客梦 青琐近臣心
挥翰宣鸣玉 承恩在赐金
留客当清夜 逢君话旧山
隔城寒杵急 带月早鸿还
二毛逢世难 万恨掩泉台
返照空堂夕 孤城吊客回
客散高楼上 帆飞细雨中
山程随远水 楚思在青枫
身寂心成道 花闲鸟自啼
细泉松径里 返景竹林西
采摘知深处 烟霞羡独行
幽期山寺远 野饭石泉清
断猿知夜久 秋草助江长
疏发应成素 青松独耐霜
伏腊同鸡黍 柴门闭雪天
孤村明夜火 稚子候归船
山川重分手 徒御亦悲秋
白简劳王事 清猿助客愁
云霞仙掌出 松柏古祠深
野渡冰生岸 寒川烧隔林
家贫青史在 身老白云深
扫雪开松径 疏泉过竹林
返照城中尽 寒砧雨外闻
离人见衰鬓 独鹤暮何群
天遥辞上国 水尽到孤城
已变炎凉气 仍愁浩淼程
乞食山家少 寻钟野寺遥
松门风自扫 瀑布雪难消
路人从北少 海水向南分
野鹤伤秋别 林猿忌夜闻
水传云梦晓 山接洞庭春
帆影连三峡 猿声近四邻
竹径通城下 松门隔水西
方同沃洲去 不似武陵迷
曙色渐分双阙下 漏声遥在百花中
炉烟乍起开仙仗 玉佩才成引上公
真僧出世心无事 静夜名香手自焚
窗临绝涧闻流水 客至孤峰扫白云
三径荒芜羞对客 十年衰老愧称兄
秋心自惜江蓠晚 世事方看木槿荣
西掖几年纶綍贵 东山遥夜薜萝情
风传刻漏星河曙 月上梧桐雨露清
江湖千里别 衰老一尊同
返照寒川满 平田暮雪空
夕拜忽辞青琐闼 晨装独捧紫泥书
深山古驿分驺骑 芳草闲云逐隼貍
长忆云门寺 门前千万峰
石床埋积雪 山路倒枯松
吟诗向月路 驱马出烟萝
晚色寒芜远 秋声候雁多
晚翠深云窦 寒台净石梁
秋花偏似雪 枫叶不禁霜
临风曲台净 对月碧池寒
讲学分阴重 斋祠晓漏残
宾贡年犹少 篇章艺已成
临流惜暮景 话别起乡情
骏马常借人 黄金每留客
投壶华馆静 纵酒凉风夕
飘荡与物永 蹉跎觉年老
长卿无产业 季子惭妻嫂
时代种桃李 无人顾此君
奈何冰雪操 尚与蒿莱群
世上五百年 君家一千里
俱游帝城下 忽在梁园里
归人望独树 匹马随秋蝉
常与天下士 许君兄弟贤
马头向春草 斗柄临高城
嗟我久离别 羡君看弟兄
如何耿夫子 感激投知音
翩翩白马来 二月青草深
济代取高位 逢时敢直言
道光先帝业 义激旧君恩
拥兵抗矫征 仗节归有德
纵横负才智 顾盼安社稷
昌言太后朝 潜运储君策
待贤开相府 共理登方伯
流水无尽期 行人未云已
浅才登一命 孤剑通万里
扶病适到官 田园在何处
公才群吏感 葬事他人助
天子垂衣方晏如 庙堂拱手无馀议
苍生偃卧休征战 露台百金以为费
行子迎霜未授衣 主人得钱始沽酒
苏秦憔悴人多厌 蔡泽栖迟世看丑
萤飞木落何淅沥 此时梦见西归客
曙钟寥亮三四声 东邻嘶马使人惊
礼乐遥传鲁伯禽 宾客争过魏公子
酒筵暮散明月上 枥马长鸣春风起
世人欲得知姓名 良久问他不开口
笋皮笠子荷叶衣 心无所营守钓矶
老将垂金甲 阏支著锦裘
雕戈蒙豹尾 红旆插狼头
佛香时入院 僧饭屡过门
听法还应难 寻经剩欲翻
兴来书自圣 醉后语尤颠
白发老闲事 青云在目前
离忧不堪比 旅馆复何如
君又几时去 我知音信疏
旧宅带流水 平田临古村
雪中望来信 醉里开衡门
为问关山事 何如州县劳
军容随赤羽 树色引青袍
问礼知才子 登科及少年
出门看落日 驱马向秋天
江山遥去国 妻子独还家
离别无嫌远 沉浮勿强嗟
相识仍远别 欲归翻旅游
夏云满郊甸 明月照河洲
应犹作赋好 莫叹在官贫
且复伤远别 不然愁此身
地与辰星在 城将大路迁
干戈悲昔事 墟落对穷年
季弟念离别 贤兄救急难
河流冰处尽 海路雪中寒
此心应不变 他事已徒然
惆怅春光里 蹉跎柳色前
征路今如此 前军犹眇然
出关逢汉壁 登陇望胡天
宅相予偏重 家丘人莫轻
美才应自料 苦节岂无成
寒食仍留火 春风未授衣
皆言黄绶屈 早向青云飞
关山唯一道 雨雪尽三边
才子方为客 将军正渴贤
孰知非远别 终念对穷秋
滑台门外见 淇水眼前流
江山知不厌 州县复何如
莫恨吴歈曲 尝看越绝书
犹思阳谷去 莫厌陇山高
倚马见雄笔 随身唯宝刀
兴来无不惬 才在亦何伤
溪水堪垂钓 江田耐插秧
屈指论前事 停鞭惜旧游
帝乡那可忘 旅馆日堪愁
思深应带别 声断为兼秋
歧路风将远 关山月共愁
为惜故人去 复怜嘶马愁
云山行处合 风雨兴中秋
光阴蓟子训 才术褚先生
墙上梨花白 尊中桂酒清
客来东道远 归去北风高
时候何萧索 乡心正郁陶
幕府为才子 将军作主人
近关多雨雪 出塞有风尘
大都秋雁少 只是夜猿多
东路云山合 南天瘴疠和
功名万里外 心事一杯中
虏障燕支北 秦城太白东
风尘经跋涉 摇落怨暌携
地出流沙外 天长甲子西
芸香名早著 蓬转事仍多
苦战知机息 穷愁奈别何
云从四岳起 水向百城流
幽意随登陟 嘉言即献酬
晚晴催翰墨 秋兴引风骚
绛叶拥虚砌 黄花随浊醪
岁时当正月 甲子入初寒
已听甘棠颂 欣陪旨酒欢
相知恨不早 乘兴乃无恒
穷巷在乔木 深斋垂古藤
佛因初地识 人觉四天空
来雁清霜后 孤帆远树中
散帙至栖鸟 明灯留故人
深房腊酒熟 高院梅花新
庭鸭喜多雨 邻鸡知暮天
野人种秋菜 古老开原田
崎岖出长坂 合沓犹前山
石激水流处 天寒松色间
苍茫远山口 豁达胡天开
五将已深入 前军止半回
怨别自惊千里外 论交却忆十年时
云开汶水孤帆远 路绕梁山匹马迟
只言啼鸟堪求侣 无那春风欲送行
黄河曲里沙为岸 白马津边柳向城
巫峡啼猿数行泪 衡阳归雁几封书
青枫江上秋天远 白帝城边古木疏
隔岸春云邀翰墨 傍檐垂柳报芳菲
池边转觉虚无尽 台上偏宜酩酊归
湍上急流声若箭 城头残月势如弓
垂竿已羡磻溪老 体道犹思塞上翁
逸气旧来凌燕雀 高才何得混妍媸
迹留黄绶人多叹 心在青云世莫知
百年将半仕三已 五亩就荒天一涯
岂有白衣来剥啄 一从乌帽自欹斜
更道玄元指李日 多于王母种桃年
仙宫仙府有真仙 天宝天仙秘莫传
莫愁前路无知己 天下谁人不识君
六翮飘飖私自怜 一离京洛十馀年
盘中何所有 苜蓿长阑干
饭涩匙难绾 羹稀箸易宽
阴壑生虚籁 月林散清影
天阙象纬逼 云卧衣裳冷
造化钟神秀 阴阳割昏晓
荡胸生曾云 决眦入归鸟
明日萧条醉尽醒 残花烂熳开何益
篱边野外多众芳 采撷细琐升中堂
醉则骑马归 颇遭官长骂
才名四十年 坐客寒无毡
野旷天清无战声 四万义军同日死
群胡归来血洗箭 仍唱胡歌饮都市
黄头奚儿日向西 数骑弯弓敢驰突
山雪河冰野萧瑟 青是烽烟白人骨
花落辞故枝 风回返无处
骨肉恩书重 漂泊难相遇
同心不减骨肉亲 每语见许文章伯
今日时清两京道 相逢苦觉人情好
玄蝉无停号 秋燕已如客
平生独往愿 惆怅年半百
溪回日气暖 径转山田熟
鸟雀依茅茨 藩篱带松菊
戏拈秃笔扫骅骝 欻见骐驎出东壁
一匹龁草一匹嘶 坐看千里当霜蹄
少须好颜色 多漫枝条剩
纷纷桃李枝 处处总能移
为爱丈人山 丹梯近幽意
丈人祠西佳气浓 缘云拟住最高峰
猛将飘然恐后时 本朝不入非高计
禄山北筑雄武城 旧防败走归其营
陇右河源不种田 胡骑羌兵入巴蜀
洪涛滔天风拔木 前飞秃鹙后鸿鹄
东至集壁西梁洋 问谁腰镰胡与羌
岂无蜀兵三千人 部领辛苦江山长
干戈未定失壮士 使我叹恨伤精魂
去年江南讨狂贼 临江把臂难再得
到今不知白骨处 部曲有去皆无归
遂州城中汉节在 遂州城外巴人稀
孤城西北起高楼 碧瓦朱甍照城郭
楼下长江百丈清 山头落日半轮明
龙鳞犀甲相错落 苍棱白皮十抱文
自是众木乱纷纷 海棕焉知身出群
观者贪愁掣臂飞 画师不是无心学
此鹰写真在左绵 却嗟真骨遂虚传
树枝有鸟乱鸣时 暝色无人独归客
马惊不忧深谷坠 草动只怕长弓射
后生相动何寂寥 君有长才不贫贱
君今起柁春江流 余亦沙边具小舟
江风萧萧云拂地 山木惨惨天欲雨
女病妻忧归意速 秋花锦石谁复数
近供生犀翡翠稀 复恐征戎干戈密
蛮溪豪族小动摇 世封刺史非时朝
松浮欲尽不尽云 江动将崩未崩石
那知根无鬼神会 已觉气与嵩华敌
正怜日破浪花出 更复春从沙际归
巴童荡桨欹侧过 水鸡衔鱼来去飞
不闻汉主放妃嫔 近静潼关扫蜂蚁
殿前兵马破汝时 十月即为齑粉期
渭水逶迤白日净 陇山萧瑟秋云高
崆峒五原亦无事 北庭数有关中使
焉得铸甲作农器 一寸荒田牛得耕
牛尽耕 蚕亦成
青衿胄子困泥涂 白马将军若雷电
千载少似朱云人 至今折槛空嶙峋
云安酤水奴仆悲 鱼复移居心力省
白帝城西万竹蟠 接筒引水喉不干
家中厌鸡食虫蚁 不知鸡卖还遭烹
虫鸡于人何厚薄 吾叱奴人解其缚
安为动主理信然 我独觉子神充实
重闻西方止观经 老身古寺风泠泠
万里飞蓬映天过 孤城树羽扬风直
江涛簸岸黄沙走 云雪埋山苍兕吼
傍见北斗向江低 仰看明星当空大
庭前把烛嗔两炬 峡口惊猿闻一个
一老犹鸣日暮钟 诸僧尚乞斋时饭
香炉峰色隐晴湖 种杏仙家近白榆
洞庭秋欲雪 鸿雁将安归
十年杀气盛 六合人烟稀
珠中有隐字 欲辨不成书
缄之箧笥久 以俟公家须
可怜马上郎 意气今谁见
近时主将戮 中夜商於战
故畦遗穗已荡尽 天寒岁暮波涛中
鳞介腥膻素不食 终日忍饥西复东
侧身长顾求其群 翅垂口噤心甚劳
下愍百鸟在罗网 黄雀最小犹难逃
邻舟一听多感伤 塞曲三更欻悲壮
积雪飞霜此夜寒 孤灯急管复风湍
舟中无日不沙尘 岸上空村尽豺虎
十日北风风未回 客行岁晚晚相催
春酒杯浓琥珀薄 冰浆碗碧玛瑙寒
误疑茅堂过江麓 已入风磴霾云端
屏开金孔雀 褥隐绣芙蓉
且食双鱼美 谁看异味重
崩石欹山树 清涟曳水衣
紫鳞冲岸跃 苍隼护巢归
望中疑在野 幽处欲生云
慈竹春阴覆 香炉晓势分
气色皇居近 金银佛寺开
往还时屡改 川水日悠哉
晚凉看洗马 森木乱鸣蝉
菱熟经时雨 蒲荒八月天
浮云连海岳 平野入青徐
孤嶂秦碑在 荒城鲁殿馀
掾曹乘逸兴 鞍马去相寻
能吏逢联璧 华筵直一金
鼍吼风奔浪 鱼跳日映山
暂游阻词伯 却望怀青关
震雷翻幕燕 骤雨落河鱼
座对贤人酒 门听长者车
枕簟入林僻 茶瓜留客迟
江莲摇白羽 天棘梦青丝
竹批双耳峻 风入四蹄轻
所向无空阔 真堪托死生
身思狡兔 侧目似愁胡
绦镟光堪擿 轩楹势可呼
枉道祗从入 吟诗许更过
淹留问耆老 寂寞向山河
暗水流花径 春星带草堂
检书烧烛短 看剑引杯长
清新庾开府 俊逸鲍参军
渭北春天树 江东日暮云
献纳开东观 君王问长卿
皂雕寒始急 天马老能行
美名人不及 佳句法如何
主将收才子 崆峒足凯歌
故人官就此 绝境兴谁同
隐吏逢梅福 游山忆谢公
春风自信牙樯动 迟日徐看锦缆牵
鱼吹细浪摇歌扇 燕蹴飞花落舞筵
宛马总肥春苜蓿 将军只数汉嫖姚
陈留阮瑀谁争长 京兆田郎早见招
舍人退食收封事 宫女开函近御筵
晓漏追飞青琐闼 晴窗点检白云篇
白头无藉在 朱绂有哀怜
书记赴三捷 公车留二年
更寻嘉树传 不忘角弓诗
短褐风霜入 还丹日月迟
盍簪喧枥马 列炬散林鸦
四十明朝过 飞腾暮景斜
饭抄云子白 瓜嚼水精寒
无计回船下 空愁避酒难
洑流何处入 乱石闭门高
客醉挥金碗 诗成得绣袍
坐开桑落酒 来把菊花枝
天宇清霜净 公堂宿雾披
两行秦树直 万点蜀山尖
御史新骢马 参军旧紫髯
碧山晴又湿 白水雨偏多
精祷既不昧 欢娱将谓何
见轻吹鸟毳 随意数花须
细草称偏坐 香醪懒再酤
故人还寂寞 削迹共艰虞
自失论文友 空知卖酒垆
季秋时欲半 九日意兼悲
江水清源曲 荆门此路疑
老夫怕趋走 率府且逍遥
耽酒须微禄 狂歌托圣朝
羞将短发还吹帽 笑倩旁人为正冠
蓝水远从千涧落 玉山高并两峰寒
有时自发钟磬响 落日更见渔樵人
盘剥白鸦谷口栗 饭煮青泥坊底芹
乱云低薄暮 急雪舞回风
瓢弃尊无绿 炉存火似红
遥怜小儿女 未解忆长安
香雾云鬟湿 清辉玉臂寒
郎伯殊方镇 京华旧国移
春城回北斗 郢树发南枝
感时花溅泪 恨别鸟惊心
烽火连三月 家书抵万金
别离惊节换 聪慧与谁论
涧水空山道 柴门老树村
斫却月中桂 清光应更多
仳离放红蕊 想像嚬青蛾
蛟龙得云雨 雕鹗在秋天
客礼容疏放 官曹可接联
入河蟾不没 捣药兔长生
只益丹心苦 能添白发明
去远留诗别 愁多任酒醺
一秋常苦雨 今日始无云
落雁浮寒水 饥乌集戍楼
市朝今日异 丧乱几时休
醉里从为客 诗成觉有神
兵戈犹在眼 儒术岂谋身
侵陵雪色还萱草 漏泄春光有柳条
纵酒欲谋良夜醉 还家初散紫宸朝
香飘合殿春风转 花覆千官淑景移
昼漏希闻高阁报 天颜有喜近臣知
桃花细逐杨花落 黄鸟时兼白鸟飞
纵饮久判人共弃 懒朝真与世相违
林花著雨燕脂落 水荇牵风翠带长
龙武新军深驻辇 芙蓉别殿谩焚香
旌旗日暖龙蛇动 宫殿风微燕雀高
朝罢香烟携满袖 诗成珠玉在挥毫
宫草微微承委佩 炉烟细细驻游丝
云近蓬莱常好色 雪残鳷鹊亦多时
落花游丝白日静 鸣鸠乳燕青春深
腐儒衰晚谬通籍 退食迟回违寸心
星临万户动 月傍九霄多
不寝听金钥 因风想玉珂
诏从三殿去 碑到百蛮开
野馆浓花发 春帆细雨来
退朝花底散 归院柳边迷
楼雪融城湿 宫云去殿低
自知白发非春事 且尽芳尊恋物华
近侍即今难浪迹 此身那得更无家
艰难归故里 去住损春心
宫殿青门隔 云山紫逻深
万里伤心严谴日 百年垂死中兴时
苍惶已就长途往 邂逅无端出饯迟
细葛含风软 香罗叠雪轻
自天题处湿 当暑著来清
饥寒奴仆贱 颜状老翁为
同调嗟谁惜 论文笑自知
相逢难衮衮 告别莫匆匆
但恐天河落 宁辞酒盏空
共传收庾信 不比得陈琳
一病缘明主 三年独此心
君随丞相后 我往日华东
冉冉柳枝碧 娟娟花蕊红
旧来好事今能否 老去新诗谁与传
棋局动随寻涧竹 袈裟忆上泛湖船
至今残破胆 应有未招魂
近得归京邑 移官岂至尊
时来如宦达 岁晚莫情疏
天上多鸿雁 池中足鲤鱼
归来稍暄暖 当为劚青冥
翻动神仙窟 封题鸟兽形
云断岳莲临大路 天晴宫柳暗长春
巢边野雀群欺燕 花底山蜂远趁人
每愁夜中自足蝎 况乃秋后转多蝇
束带发狂欲大叫 簿书何急来相仍
直为心厄苦 久念与存亡
汝书犹在壁 汝妾已辞房
露从今夜白 月是故乡明
有弟皆分散 无家问死生
雨荒深院菊 霜倒半池莲
放逐宁违性 虚空不离禅
但添新战骨 不返旧征魂
楼角临风迥 城阴带水昏
今朝好晴景 久雨不妨农
塞柳行疏翠 山梨结小红
关云常带雨 塞水不成河
羌女轻烽燧 胡儿制骆驼
麝香眠石竹 鹦鹉啄金桃
乱石通人过 悬崖置屋牢
人怜汉公主 生得渡河归
秋思抛云髻 腰支胜宝衣
天风随断柳 客泪堕清笳
水净楼阴直 山昏塞日斜
纵被微云掩 终能永夜清
含星动双阙 伴月照边城
微升古塞外 已隐暮云端
河汉不改色 关山空自寒
四时无失序 八月自知归
春色岂相访 众雏还识机
已近苦寒月 况经长别心
宁辞捣熨倦 一寄塞垣深
草根吟不稳 床下夜相亲
久客得无泪 放妻难及晨
未足临书卷 时能点客衣
随风隔幔小 带雨傍林微
暂时花戴雪 几处叶沉波
体弱春风早 丛长夜露多
味苦夏虫避 丛卑春鸟疑
轩墀曾不重 翦伐欲无辞
